"dateclosingcsrd","sitename","electricityconsumption","electricityconsumptionunit","gasconsumption","gasconsumptionunit"
"2023-12-31","AGENCE BOURG EN BRESSE","21.37","MWh",,"MWh"
"2023-12-31","AGENCE NICE","16.86","MWh",,"MWh"
"2023-12-31","AGENCE TROYES","8.13","MWh",,"MWh"
"2023-12-31","AGENCE MARSEILLE","49.09","MWh",,"MWh"
"2023-12-31","AGENCE HEROUVILLE","49.2","MWh",,"MWh"
"2023-12-31","AGENCE LA ROCHELLE","29.75","MWh",,"MWh"
"2023-12-31","AGENCE AJACCIO","7.55","MWh",,"MWh"
"2023-12-31","AGENCE DIJON","45.13","MWh",,"MWh"
"2023-12-31","AGENCE PLERIN",,"MWh",,"MWh"
"2023-12-31","AGENCE BESANCON","14.32","MWh",,"MWh"
"2023-12-31","AGENCE VALENCE",,"MWh",,"MWh"
"2023-12-31","AGENCE BREST","8.5","MWh",,"MWh"
"2023-12-31","AGENCE BALMA","97.33","MWh",,"MWh"
"2023-12-31","AGENCE BORDEAUX","23.62","MWh",,"MWh"
"2023-12-31","AGENCE MONTPELLIER","25.53","MWh",,"MWh"
"2023-12-31","AGENCE RENNES","76.36","MWh","126.11","MWh"
"2023-12-31","AGENCE TOURS","12.64","MWh",,"MWh"
"2023-12-31","AGENCE GRENOBLE","59.75","MWh",,"MWh"
"2023-12-31","AGENCE SAINT ETIENNE","11.4","MWh",,"MWh"
"2023-12-31","AGENCE NANTES",,"MWh",,"MWh"
"2023-12-31","AGENCE NANTES - SKY HOME","172.26","MWh",,"MWh"
"2023-12-31","AGENCE ORLEANS","39.5","MWh",,"MWh"
"2023-12-31","AGENCE REIMS","5.3","MWh",,"MWh"
"2023-12-31","AGENCE NANCY",,"MWh",,"MWh"
"2023-12-31","AGENCE LORIENT","10.08","MWh",,"MWh"
"2023-12-31","AGENCE METZ","9.7","MWh",,"MWh"
"2023-12-31","AGENCE LILLE","134.82","MWh",,"MWh"
"2023-12-31","AGENCE COMPIEGNE","14.72","MWh",,"MWh"
"2023-12-31","AGENCE CLERMONT FERRAND","42.94","MWh",,"MWh"
"2023-12-31","AGENCE PAU","18.91","MWh",,"MWh"
"2023-12-31","AGENCE PERPIGNAN","35.46","MWh",,"MWh"
"2023-12-31","AGENCE SCHILTIGHEIM","38.54","MWh",,"MWh"
"2023-12-31","AGENCE LYON","117.74","MWh",,"MWh"
"2023-12-31","AGENCE LE MANS","18.28","MWh",,"MWh"
"2023-12-31","AGENCE ANNECY","16.76","MWh",,"MWh"
"2023-12-31","AGENCE ROUEN","39.29","MWh",,"MWh"
"2023-12-31","AGENCE BOVES","46.19","MWh",,"MWh"
"2023-12-31","AGENCE AVIGNON","16.23","MWh",,"MWh"
"2023-12-31","AGENCE LA ROCHE SUR YON","7.75","MWh",,"MWh"
"2023-12-31","AGENCE POITIERS",,"MWh",,"MWh"
"2023-12-31","AGENCE LIMOGES","38.25","MWh",,"MWh"
"2023-12-31","AGENCE FONTENAY-SOUS-BOIS","109.06","MWh",,"MWh"
"2023-12-31","AGENCE MARTINIQUE","2.93","MWh",,"MWh"
"2023-12-31","AGENCE LA REUNION","5.72","MWh",,"MWh"
"2023-12-31","IMM HAUSSMANN","668.02","MWh",,"MWh"
"2023-12-31","IMM DROUOT","690.78","MWh",,"MWh"
"2023-12-31","AGENCE LA DEFENSE","-85.98621","MWh",,"MWh"
"2023-12-31","AGENCE NOISY LE GRAND",,"MWh",,"MWh"
"2023-12-31","Bâtiment Le Vaisseau","2904.58","MWh","685.6","MWh"
"2023-12-31","Bâtiment Le Campus",,"MWh",,"MWh"
"2023-12-31","Bâtiment Le Confluent",,"MWh",,"MWh"
"2023-12-31","Batiment Millenium",,"MWh",,"MWh"
"2023-12-31","AGENCE RODEZ","0.83","MWh",,"MWh"
"2023-12-31","AGENCE LA DEFENSE - EUROPLAZA","15.67","MWh",,"MWh"
